id,title,content
3000,10 Things I Hate About You,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
3001,101 Dalmatian Street,"This series follows the lives of Delilah and Doug, descendants of Pongo and Perdita, and their 99 dalmatian pups at 101 Dalmatian Street, Camden Town."
3002,101 Dalmatians,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess."
3003,101 Dalmatians 2: Patch's London Adventure,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign."
3004,102 Dalmatians,Cruella DeVil gets out of prison and goes after the puppies once more.
3005,12 Dates of Christmas,"A story that follows Kate, a young woman who after a horrible blind date on Christmas Eve, wakes up to find she is re-living that same day and date all over again."
3006,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
3007,A Bug's Life,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
3008,A Celebration of the Music from Coco,N/A
3009,A Goofy Movie,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
3010,A Kid in King Arthur's Court,A Little League player is sent back into medieval times where he is given the task of saving Camelot.
3011,A Knight for a Day,"By accident, Cedric (Goofy), replaces his master, Sir Loinsteak, in the armor just before the joust with champion Sir Cumference."
3012,A Ring of Endless Light,"Based on the Novel by Madeline L'Engle. During the summer her grandfather is dying of leukemia and death seems all around, 15-year-old Vicky finds comfort with the pod of dolphins with ..."
3013,A Tale of Two Critters,"A bear cub and a raccoon become fast friends when they're swept away down a river, away from their families."
3014,A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him."
3015,Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
3016,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
3017,Aladdin and the King of Thieves,"The King of Thieves disrupts Aladdin and Jasmine's long-anticipated wedding, looking for an oracle that will lead him to an even bigger treasure. His true identity causes trouble for Aladdin."
3018,Aladdin and the Return of Jafar,"Jafar comes for revenge on Aladdin, using a foolish thief and Iago's treachery to find a way back into power."
3019,Alice in Wonderland,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
3020,Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
3021,Aliens of the Deep,"James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms."
3022,All in a Nutshell,Donald Duck battles with those mischievous chipmunks Chip and Dale who are intent on raiding his nut butter shop.
3023,Alley Cats Strike,A group of hip retro teenage outsiders become involved in an interschool bowling rivalry.
3024,Almost Angels,"Supported avidly by his mother and more reluctantly at first by his father, a working-class Austrian boy joins the Vienna Choirboys, where he proves to be unusually talented. The standard ..."
3025,America's Funniest Home Videos,Viewers from around America send in home videos with comedic moments.
3026,America's Heart & Soul,Filmmaker Louis Schwartzberg hits the road to capture America's people and its natural beauty.
3027,America's National Parks,Series exploring the incredible wildlife of America's most iconic national parks.
3028,Amy,A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.
3029,An Extremely Goofy Movie,"Max goes to college, but to his embarassment his father loses his job and goes to his son's campus."
3030,Andi Mack,"A contemporary coming-of-age story about a girl who's trying to determine where she fits in, when her free-spirited older sister returns with a revelation that changes everything, it sends Andi on an uncharted course of self-discovery."
3031,Annie,"A little orphan girl catches the attention of a kind man named Mr. Warbucks, who wants to adopt her, but the cruel, strict orphanage owner has a scheme to keep Annie - and her reward money."
3032,Apollo: Missions to the Moon,"In the late 1960s, the United States space program neared its goal of landing a man on the Moon, but it was a journey that began years before. This is the story of Project Apollo - 12 years..."
3033,,
3034,Around the World in 80 Days,"To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days."
3035,Atlantis Rising,Hollywood legend James Cameron and filmmaker Simcha Jacobovici go on an adventure to find the lost city of Atlantis by using Greek philosopher Plato as a virtual treasure map.
3036,Atlantis: Milo's Return,Milo and Kida reunite with their friends to investigate strange occurances around the world that seem to have links to the secrets of Atlantis.
3037,Atlantis: The Lost Empire,A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.
3038,Auntie Edna,"Edna babysits Jack-Jack, who uses his powers."
3039,Austin & Ally,"Following the lives of Austin, an aspiring confident musician, Ally, a quiet talented songwriter and their two friends."
3040,Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
3041,,
3042,Babes in the Woods,Two Dutch children stumble on a clearing in the woods where gnomes are going about their business. The gnomes are friendly to the children. A witch comes and takes them away on her broom to...
3043,Babes in Toyland,"All roads lead to magical, merry Toyland as Mary Contrary and Tom Piper prepare for their wedding. But villainous Barnaby wants Mary for himself, so he kidnaps Tom, setting off a series of comic chases, searches, and double-crosses."
3044,Bambi,The story of a young deer growing up in the forest.
3045,Bambi and the Great Prince of the Forest,"The story of Bambi growing up in the care of his father, The Great Prince of the Forest."
3046,Bao,A Chinese-Canadian woman suffering from empty nest syndrome gets a second shot at motherhood when one of her handmade dumplings comes alive.
3047,Be Our Chef Chef date,N/A
3048,Beach Picnic,Donald Duck is at the beach and tries to ride a rubber horse. He notices Pluto sleeping at the shore and decides to have some fun with him by sending the rubber horse over to Pluto which ...
3049,Bearly Asleep,"Park ranger Donald sends his bears off to hibernate, but Humphrey would rather stay in his hammock, run out for a glass of water, etc., than sleep; when he does get to sleep, his snoring ..."
3050,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
3051,Belle's Magical World,"Beauty and the Beast ""midquel"" set during Belle's original stay at the Beast's castle and composed of three short stories (four in the DVD release) that suitably teach both kids and adults to forgive, love, and be kind to one another."
3052,Beauty and the Beast: The Enchanted Christmas,"Astonished to find the Beast (Robbie Benson) has a deep-seeded hatred for the Christmas season, Belle (Paige O'Hara) endeavors to change his mind on the matter."
3053,Because of Winn-Dixie,A mischievous dog befriends a lonely young girl in a new town and helps her make new friends.
3054,Bedknobs and Broomsticks,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II."
3055,Bedtime Stories,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.
3056,Beezy Bear,"Beekeeper Donald catches Humphrey the bear raiding his hives. He complains to Ranger Woodlore, who assembles his bears and lectures them. Donald puts up a barbed wire fence, which slows ..."
3057,Before the Flood,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems and native communities across the planet."
3058,Benji the Hunted,Benji is left in the wilderness after an accident. Can he survive?
3059,Best Friends Whenever,"Follows teenagers Shelby and Cyd, who when a science experiment goes wrong, become unstuck in time leaping forward and backward in time. Teenage genius Barry then helps girls master their new power."
3060,Big Business,Two couples of sisters from New York and from the countryside discover that they are connected in an incredible way.
3061,Big City Greens,"The adventurous life of Cricket Green, a country boy who moves with his family from their rural farm to a modern metropolis."
3062,,
3063,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
3064,,
3065,Billy Dilley's Super-Duper Subterranean Summer,"The show follows the adventures of Billy Dilley, a 7th grader who loves science, and his lab partners, Zeke and Marsha, who on summer vacation find themselves trapped in a strange world located in the Earth's core."
3066,,
3067,Bizarre Dinosaurs,"As dinosaurs grew into the behemoths of the Cretaceous period they evolved many extraordinary but apparently useless features including spikes, sails horns, crests and the tiny ""arms"" of ..."
3068,Blackbeard's Ghost,"On the Carolina coast, Godolphin College's new track coach lodges at Blackbeard's Inn, run by the Daughters of the Buccaneers, who claim to be descendants of the notorious pirate, and who risk losing their hotel to the local mobster."
3069,Blank Check,"A young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters to whom it belongs are in pursuit."
3070,Bluey,"Bluey follows the adventures of a lovable and inexhaustible six-year-old Blue Heeler puppy who lives with her dad, mum and four-year-old little sister, Bingo. In every episode, Bluey uses ..."
3071,Boat Builders,"Mickey, Donald, and Goofy build a boat, but find it's harder than they had anticipated."
3072,Bolt,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
3073,,
3074,Bonkers,"Bonkers, an out of work cartoon, joins the Hollywood PD and helps his partners (first a doughnut munching stressbomb, then a beautiful blonde) catch cartoon criminals."
3075,,
3076,Boundin',"A sheep dances proudly in his southwestern landscape, until one day his wool is sheared and he is left naked. He's depressed and shy, until a cheerful jackalope comes along and shows him how to leap proudly and not to be ashamed."
3077,Boy Meets World,An adolescent with two siblings tests his various theories about life as he endures the trials of growing alongside a good friend.
3078,Brain Games,An examination of the nature of human perception and how it can be fooled.
3079,Brave,"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
3080,The Brave Little Toaster to the Rescue,The Brave Little Toaster and friends must rescue the animals at a veterinary hospital from being sent to a testing laboratory.
3081,Breaking2,"After six months of scientifically advanced training, three of the world's most elite distance runners set out to break the two-hour marathon barrier. These pioneers go on a global trek to ..."
3082,,
3083,Brink!,"Andy ""Brink"" Brinker and his in-line skating crew--Peter, Jordy, and Gabriella--who call themselves ""Soul-Skaters"" (which means they skate for the fun of it, and not for the money), clash ..."
3084,Brother Bear,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
3085,Brother Bear 2,"An old female friend of Kenai needs his help on a quest, much to Koda's growing consternation."
3086,Buffalo Dreams,"Schoolboy Josh Townsend has to move again with his father, astrophysics researcher Dr. Nick Townsend, to a New Mexico small town. To escape the copy-boy job dad arranged, Josh volunteers ..."
3087,Bug Juice: My Adventures at Camp,"Chronicles the outdoor fun, team activities, new friendships and the experience of being away from home for a new generation of kids at the popular Camp Waziyatah in Waterford, Maine."
3088,,
3089,Burn-E,"If BURN-E (a welding robot) had known how much trouble he'd be caused by WALL-E's pursuit of EVE, then he'd have taken the day off."
3090,Cadet Kelly,A fashion-conscious youngster is horrified when she is forced to move to military school.
3091,Camp Nowhere,"A group of junior high kids don't want to go to summer camps chosen by their parents. They make their own adult-free camp and ""hire"" an ex drama teacher to help."
3092,Camp Rock,"At a music camp for gifted teens, a popular teen idol overhears a girl singing and sets out to find who the talented voice belongs to. What he doesn't know is that the girl is actually a camp kitchen worker with a fear of being heard."
3093,Camp Rock 2: The Final Jam,"Mitchie is back with her friends at Camp Rock, ready to perform music, dance and have a good time. Her ""boyfriend"" is there as well. A new camp has opened across the lake, creating an atmosphere of competition or feud."
3094,Can of Worms,A teen is visited by aliens after he broadcasts a message into space.
3095,Candleshoe,"Small-time crook Harry Bundage discovers that the old manor house where Lady St. Edmund resides, with three orphans and her butler Priory is the resting place for a hoard of treasure. ..."
3096,Canine Caddy,"Mickey's going golfing, and Pluto is his caddy. Besides the usual caddy duties, Pluto runs to the ball and points to it. But when the ball lands in a gopher hole, Pluto's got another task: ..."
3097,,
3098,Cars,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
3099,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
3100,Cars 3,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
3101,,
3102,El Materdor,Mater tells Lightning McQueen about his former job as a famous bulldozer fighter in Spain.
3103,,
3104,,
3105,,
3106,,
3107,,
3108,Moon Mater,Mater's mission on the moon: rescue the Impala XIII.
3109,Rescue Squad Mater,Mater tells Lightning McQueen about his previous job as a Fire Truck.
3110,Spinning,N/A
3111,,
3112,Time Travel Mater,"When a clock lands on Mater's engine, he travels back in time to 1909 where he meets Stanley, an ambitious young car on his way to California. With the help of Lightning McQueen, Mater ..."
3113,Tokyo Mater,"A routine tow lands Mater in Tokyo, where he is challenged to a drift-style race against a nefarious gang leader and his posse of ninjas. With the help of his friend, ""Dragon"" Lightning McQueen, and some special modifications, Mater attempts to drift to victory and become ""Tow-ke-O Mater, King of all Drifters""."
3114,Unidentified Flying Mater,"Mater tells the story of the time he found a UFO, named it Mator and, thanks to friendship, learned how to fly."
3115,Bugged,N/A
3116,Casebusters,"A brother and sister (Noah Hatahway, Virginia Keehne) are amateur sleuths who help their grandfather (Pat Hingle) run a security business. While digging around on their own, they ..."
3117,Cheaper by the Dozen,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood."
3118,Cheetah,"An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. ..."
3119,Chef Donald,Donald is listening to a radio cooking program while mixing up a batch of waffles. But he's distracted and uses rubber cement instead of baking powder.
3120,Chicken Little,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
3121,Chip 'n' Dale Rescue Rangers,Disney's fun-loving chipmunks are re-imagined as the leaders of a team of pint-sized crime-fighters.
3122,Chip an' Dale,"Donald needs a log for his fire. Unfortunately, the one he picks is occupied by a couple of chipmunks and their stash of acorns. When he cuts it down, Chip and Dale fall out, but their ..."
3123,Cinderella,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother."
3124,Cinderella 2: Dreams Come True,"Jaq and Gus create a storybook based on three events that happened after the first film. The stories include Cinderella's opposition to the court's strict etiquette, Jaq's becoming human for a day, and Anastasia's redemption through love."
3125,Cinderella 3: A Twist in Time,"When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella and her mouse friends to restore the timeline and reclaim her prince."
3126,Clock Cleaners,"Mickey, Donald, and Goofy are cleaning a large clock. Among the complications: Mickey fights a sleeping stork that doesn't want to leave, Donald gets tangled up in the main-spring, and Goofy is inside the bell when the clock strikes four."
3127,Cloud 9,"A snowboarder takes lessons from a former champion, inspiring him to reach for the stars once again."
3128,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
3129,,
3130,College Road Trip,"James Porter (Martin Lawrence) drives his teenage daughter Melanie (Raven Symone), from their home in Chicago to a college interview in Washington, D.C."
3131,Confessions of a Teenage Drama Queen,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention."
3132,Continent 7: Antarctica,"At -100 degrees F, you can burn up to 5,000 calories a day, and with winter at less than 1% humidity, your body will lose water just breathing. This is Antarctica, where close-knit ..."
3133,Cool Runnings,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
3134,Coop and Cami Ask the World,Centers on two middle school siblings who make nearly all of their decisions crowd sourcing opinions from the millions of followers of Cooper's online channel Would You Wrather?
3135,,
3136,Corn Chips,"Donald is shoveling the snow off his walk; Chip 'n' Dale are shoveling their branch. Donald tricks them into shoveling his walk. Angered, they sneak into his house, where he's getting ready..."
3137,Cow Belles,"In order to learn how to be responsible, two wealthy teen sisters are forced to work in the family business by their exasperated father. When company funds goes missing, it's up to the girls to save the day."
3138,Crash & Bernstein,"Wyatt Bernstein is a typical boy who enjoys hanging out at the local arcade with his friend Pesto. In a household full of females, Wyatt desperately wishes for a brother he could do fun guy..."
3139,Dadnapped,"Melissa has a bad case of sibling rivalry, only her competition is a fictional character in her father's best-selling novel about a teenage super spy. When her father is ""dadnapped"" by a ..."
3140,Darby O'Gill and the Little People,A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.
3141,Darkwing Duck,A bumbling superhero battles crime with the help of his daughter and pilot sidekick.
3142,Davy Crockett and the River Pirates,"Davy Crockett and his sidekick Georgie compete against boastful Mike Fink (""King of the River"") in a boat race to New Orleans. Later, Davy and Georgie, allied with Fink, battle a group of ..."
3143,Davy Crockett: King of the Wild Frontier,"American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo."
3144,Day & Night,The personifications of daytime and nighttime learn to get along.
3145,Decorating Disney: Holiday Magic,How does the most magical place on earth become the merriest place on earth? Whoopi Goldberg reveals Disney's holiday secrets.
3146,Deep Blue,The natural history of the oceans
3147,Descendants 2,"Mal, Evie, Carlos and Jay try to adjust to life in Auradon, but Mal becomes overwhelmed with pressure and returns to her roots."
3148,Descendants 3,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.
3149,Destino,"To a song of love lost and rediscovered, a woman sees and undergoes surreal transformations. Her lover's face melts off, she dons a dress from the shadow of a bell and becomes a dandelion, ..."
3150,Diana: In Her Own Words,This documentary uses the recordings Princess Diana made for the book that was written by Andrew Morton. In this documentary Diana narrates her life and the events that surrounded her.
3151,Diary of a Future President,A young Cuban-American girl embarks on a journey to become the future president of the United States.
3152,Diary of a Wimpy Kid,"The adventures of a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
3153,Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
3154,Adventures in Babysitting,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision."
3155,Amphibia,"Ordinary Anne Boonchuy, 13, finds a treasure chest that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover her first true friendship in her life."
3156,Avalon High,A teenage girl moves to a new high school where she slowly discovers herself involved in the reincarnation of King Arthur.
3157,Bad Hair Day,"A buddy comedy about a high school tech-whiz whose prom day abruptly shifts into a wild ride across town, thanks to a down-on-her-luck cop and a jewel thief."
