,question,answer,doc num,sentences num,answer sentence
1,In what month and year did Chopin give his final performance?,February 1848,0,0,n/a
2,What did Güshi Khan present as a gift to the Dalai Lama?,his conquest of Tibet,0,0,n/a
4,Where does Midna take Link after he acquires the Master Sword?,Mirror of Twilight,0,0,n/a
5,Which actor portrayed Bill Tanner?,Rory Kinnear,0,0,n/a
7,"In 2008, what percentage of voters were democrats?",67,0,0,n/a
8,What personal effect did Lee give to Peck?,her father's pocketwatch,0,0,n/a
9,What is solar energy?,radiant light and heat from the Sun,0,0,n/a
10,"On what tour did Kanye perform ""Hey Mama"" and his version of Journey's ""Don't Stop Believing"" in memory of his mother?",Glow in the Dark tour,0,0,n/a
11,Who believes there are innumerable other Buddhas in other universes?,Mahayana Buddhists,0,0,n/a
12,What was the Las Vegas round called in season twelve?,Sudden Death,0,0,n/a
13,"In addition to vocalization and body posture, how do people communicate with dogs?",hand signals,0,0,n/a
14,Where did the torch end up in Istanbul?,Taksim Square,0,0,n/a
15,At what university was Hans Winkler employed when he created the word genome?,University of Hamburg,0,0,n/a
16,What concept does the government currently support for education?,specialisation,0,0,n/a
17,What did income from petroleum allow the government to fund in the early '80s?,large-scale development projects,0,0,n/a
18,The reign of which king was a turning point in the growth of the position of prime minister?,George I,0,0,n/a
19,A student would attend a technical institute before a university or polytechnic but after what?,high school,0,0,n/a
20,What is the ultimate aim of the Wayback Machine?,to archive the entire Internet,0,0,n/a
21,Who was a strong supporter of freedom of religion and wanted to unite Protestants and Catholics in the new union?,William of Orange,0,0,n/a
22,What type of symbiosis seen between bryozoans and hermit crabs?,non-obligate,0,0,n/a
23,What roles were women recruited for in the 1950s?,"medicine, communication, logistics, and administration",0,0,n/a
24,What did the Code of Canon Law state in regards to Cardinals?,only those who are already priests or bishops may be appointed cardinals,0,0,n/a
25,What was the first dynasty to use Dari?,Saffarid,0,0,n/a
26,What is the removable and replaceable part of a light fixture?,light bulbs,0,0,n/a
27,Immediately following the civil war which branch of government was seen to have the greater amount of power?,Congress,0,0,n/a
28,In architecture what aspects are planned and designed?,"form, space and ambience",0,0,n/a
29,"Does the IHDI measure the ""average"" or the ""potential"" level of human development? ",the average level,0,0,n/a
30,Where was the headquarters of the Western Roman Empire?,Rome,0,0,n/a
31,What was the name of the satellite from which the BBC's signal was sent?,Astra 2D satellite,0,0,n/a
32,What was Schwarzenegger's approval rating on the day his time in office ended?,23%,0,0,n/a
33,Who headed the team that created the 'Vision for Plymouth'?,David MacKay,0,0,n/a
34,What were the Jews described as enemies of?,Christ,0,0,n/a
35,What was the focus of both alliances' policies towards the other in lieu of direct fighting?,containment,0,0,n/a
36,Between what years did the school advance atomism?,600 BC - 100 BC,0,0,n/a
37,What does 基督徒 (pinyin: jīdū tú) mean?,Christ follower,0,0,n/a
38,In what year was Clive Davis let go at CBS Records Group?,1972,0,0,n/a
39,Where is the Children's hospital located?,Oklahoma Health Center district,0,0,n/a
40,What do people basically rely on now?,agriculture,0,0,n/a
44,What is a term for pubs that serve restaurant-quality food?,gastropubs,0,0,n/a
47,How many seats are in the Legislative Council of Saint Helena?,15,0,0,n/a
48,Attic Greek lenited to what?,voiceless and voiced fricatives,0,0,n/a
49,What enzymes are used to produce H2?,hydrogenases,0,0,n/a
50,On what date was the first successful three man astronaut crew?,12-Oct-64,0,0,n/a
53,At which universities were canon law degrees abolished?,Oxford and Cambridge,0,0,n/a
55,What is another expression for bilingual attitudes?,diglossic attitudes,0,0,n/a
56,Wher e is Lesley University College of Art and Desighn located?,Metropolitan Boston,0,0,n/a
58,How many estimated non native speakers of Estonian are there in Estonia?,tens of thousands,0,0,n/a
66,How far from Nanjing is the Yangshan Quarry?,15–20 km (9–12 mi) east of the walled city,0,0,n/a
67,When was the first AFL season played?,1987,0,0,n/a
68,What does the term Dariajs refer to?,spoken North African languages,0,0,n/a
